pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,idcard_10ab_t,idcard_10ab_citi_t,idcard_10ab_assc_t,idcard_10ab_natu_t,idcard_10ab_natreg_t,idcard_10ab_relig_t,idcard_10ab_temp_t,idcard_10ab_forreg_t,idcard_10ab_forpp_t,idcard_10ab_non_t,idcard_10ab_u_t,idcard_10ab_citi_u_t,idcard_10ab_assc_u_t,idcard_10ab_natu_u_t,idcard_10ab_natreg_u_t,idcard_10ab_relig_u_t,idcard_10ab_temp_u_t,idcard_10ab_forreg_u_t,idcard_10ab_forpp_u_t,idcard_10ab_non_u_t,idcard_10ab_r_t,idcard_10ab_citi_r_t,idcard_10ab_assc_r_t,idcard_10ab_natu_r_t,idcard_10ab_natreg_r_t,idcard_10ab_relig_r_t,idcard_10ab_temp_r_t,idcard_10ab_forreg_r_t,idcard_10ab_forpp_r_t,idcard_10ab_non_r_t
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,29133,17496,11637,135996,10968,119929,94493,125,368,1026,854,312,134,206,22411,70343,58105,88,297,407,641,237,63,74,10431,49586,36388,37,71,619,213,75,71,132,11980
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006002,Launglon,25735,17231,8504,114977,3340,92801,64154,50,122,1034,524,287,5,24,26601,4401,3666,1,14,8,40,3,0,0,669,88400,60488,49,108,1026,484,284,5,24,25932
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,22874,10281,12593,103182,2480,82825,64171,40,134,1357,357,211,4,34,16517,9342,8264,5,6,74,39,22,1,0,931,73483,55907,35,128,1283,318,189,3,34,15586
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,26350,19510,6840,115860,6773,96050,65822,104,151,1977,363,283,10,426,26914,6452,5370,0,15,47,25,48,0,1,946,89598,60452,104,136,1930,338,235,10,425,25968
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,54349,43414,10935,273637,10852,226673,153118,197,1061,7905,1332,771,145,157,61987,94954,67956,152,683,2876,682,592,130,80,21803,131719,85162,45,378,5029,650,179,15,77,40184
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,32988,27672,5316,168531,3222,127207,73561,40,144,1998,279,205,4,47,50929,4507,3849,0,5,54,12,6,0,0,581,122700,69712,40,139,1944,267,199,4,47,50348
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,25653,19741,5912,127925,2067,98717,70352,21,154,1106,387,152,6,11,26528,19925,15218,4,36,128,69,40,5,3,4422,78792,55134,17,118,978,318,112,1,8,22106
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,19929,11956,7973,102805,4048,80559,51278,35,165,2220,245,407,29,13,26167,4527,3768,0,6,69,31,4,0,1,648,76032,47510,35,159,2151,214,403,29,12,25519
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006009,Kawthoung,30346,20967,9379,133526,6494,109753,69622,70,381,5828,569,452,65,231,32535,54552,39207,35,134,1809,342,206,59,50,12710,55201,30415,35,247,4019,227,246,6,181,19825
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,15742,12991,2751,75844,5874,61386,36653,40,225,2150,169,432,3,33,21681,8303,6079,2,28,202,46,13,2,2,1929,53083,30574,38,197,1948,123,419,1,31,19752
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,107132,81404,25728,467615,23819,402587,263171,283,2290,4137,5750,1702,99,258,124897,213951,147374,240,1713,2442,4178,1026,71,135,56772,188636,115797,43,577,1695,1572,676,28,123,68125
