pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,hh_t,hh_m,hh_f,pop_hh,pop_ins,popdisab_notdisab_t,popdisab_anydiab_t,disabtype_see_t,disabtype_hear_t,disabtype_walk_t,disabtype_rmbr_t,popdisab_notdisab_m,popdisab_anydiab_m,disabtype_see_m,disabtype_hear_m,disabtype_walk_m,disabtype_rmbr_m,popdisab_notdisab_f,popdisab_anydiab_f,disabtype_see_f,disabtype_hear_f,disabtype_walk_f,disabtype_rmbr_f
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,15742,12991,2751,75844,5874,76949,4769,2349,1368,1761,1835,41252,2460,1151,730,908,907,35697,2309,1198,638,853,928
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,107132,81404,25728,467615,23819,476786,14648,6828,3765,6444,4552,228718,6811,2927,1582,3026,2077,248068,7837,3901,2183,3418,2475
MMR111,Bago,MMR007D001,Bago,MMR007002,Thanatpin,32527,25846,6681,143037,2250,141145,4142,1889,1240,1878,1636,67214,1922,793,551,885,784,73931,2220,1096,689,993,852
MMR111,Bago,MMR007D001,Bago,MMR007003,Kawa,46075,36852,9223,195158,2205,191300,6063,2803,1555,2779,2258,91017,2787,1195,636,1279,1037,100283,3276,1608,919,1500,1221
MMR111,Bago,MMR007D001,Bago,MMR007004,Waw,37083,28664,8419,171165,4849,169464,6550,3668,1763,2718,2241,80584,3115,1615,760,1313,1078,88880,3435,2053,1003,1405,1163
MMR111,Bago,MMR007D001,Bago,MMR007005,Nyaunglebin,44762,33239,11523,195607,3876,192922,6561,3217,1991,2920,2404,91518,2946,1367,817,1299,1054,101404,3615,1850,1174,1621,1350
MMR111,Bago,MMR007D001,Bago,MMR007006,Kyauktaga,51648,40373,11275,248302,2910,243771,7441,3442,2192,3376,2717,116507,3517,1459,955,1652,1291,127264,3924,1983,1237,1724,1426
MMR111,Bago,MMR007D001,Bago,MMR007007,Daik-U,45753,33539,12214,198484,4046,197903,4627,1775,1347,2176,1740,94188,2174,758,585,1053,843,103715,2453,1017,762,1123,897
MMR111,Bago,MMR007D001,Bago,MMR007008,Shwegyin,21782,16154,5628,104486,2976,100780,6682,4318,2035,2466,2386,49918,3174,1955,953,1187,1072,50862,3508,2363,1082,1279,1314
MMR111,Bago,MMR007D002,Taungoo,MMR007009,Taungoo,57460,42563,14897,247505,14551,251477,10579,4955,3072,4427,3335,120404,4738,2010,1319,2026,1494,131073,5841,2945,1753,2401,1841
MMR111,Bago,MMR007D002,Taungoo,MMR007010,Yedashe,50527,38735,11792,207291,6302,205729,7864,3736,2340,3068,2613,99586,3712,1606,1027,1465,1223,106143,4152,2130,1313,1603,1390
MMR111,Bago,MMR007D002,Taungoo,MMR007011,Kyaukkyi,22883,15093,7790,111429,1900,107583,5746,2822,1716,2607,2218,51556,2731,1221,762,1335,1019,56027,3015,1601,954,1272,1199
MMR111,Bago,MMR007D002,Taungoo,MMR007012,Phyu,54931,39999,14932,252662,4611,245501,11772,6305,3475,5047,4471,115773,5350,2648,1492,2291,1965,129728,6422,3657,1983,2756,2506
MMR111,Bago,MMR007D002,Taungoo,MMR007013,Oktwin,36870,26119,10751,157272,2556,149567,10261,6282,2708,3240,3289,70859,4522,2600,1137,1437,1370,78708,5739,3682,1571,1803,1919
MMR111,Bago,MMR007D002,Taungoo,MMR007014,Htantabin,26781,19892,6889,115743,1533,111046,6230,3402,2085,2288,1989,52564,2769,1387,872,1015,857,58482,3461,2015,1213,1273,1132
MMR111,Bago,MMR008D001,Pyay,MMR008001,Pyay,58557,44362,14195,235915,15728,242086,9557,5416,3011,3883,2901,115391,4279,2266,1262,1740,1290,126695,5278,3150,1749,2143,1611
MMR111,Bago,MMR008D001,Pyay,MMR008002,Paukkhaung,32347,27003,5344,122999,1857,119421,5435,3001,1865,2218,2147,58392,2549,1357,804,1007,969,61029,2886,1644,1061,1211,1178
MMR111,Bago,MMR008D001,Pyay,MMR008003,Padaung,38892,27956,10936,140748,3466,134594,9620,6228,2692,3500,2988,64884,4400,2790,1164,1575,1290,69710,5220,3438,1528,1925,1698
MMR111,Bago,MMR008D001,Pyay,MMR008004,Paungde,36700,29361,7339,134195,3366,130203,7358,4287,2498,3149,2598,62953,3259,1786,1024,1403,1131,67250,4099,2501,1474,1746,1467
MMR111,Bago,MMR008D001,Pyay,MMR008005,Thegon,35950,27415,8535,128971,1986,124139,6818,3997,2225,2362,2036,58895,2912,1636,881,1013,853,65244,3906,2361,1344,1349,1183
MMR111,Bago,MMR008D001,Pyay,MMR008006,Shwedaung,33564,25048,8516,118837,2834,115391,6280,3474,1923,2843,2445,53816,2821,1467,790,1311,1100,61575,3459,2007,1133,1532,1345
MMR111,Bago,MMR008D002,Thayarwady,MMR008007,Thayarwady,36626,28867,7759,147417,3687,143287,7817,4633,2331,3003,2295,69212,3560,1953,1030,1374,1080,74075,4257,2680,1301,1629,1215
MMR111,Bago,MMR008D002,Thayarwady,MMR008008,Letpadan,43484,34398,9086,175089,2318,169081,8326,4711,2567,3523,2955,80689,3707,1993,1082,1590,1330,88392,4619,2718,1485,1933,1625
MMR111,Bago,MMR008D002,Thayarwady,MMR008009,Minhla,30894,24314,6580,120682,1809,117767,4724,2297,1515,1966,1503,56446,2131,918,638,887,661,61321,2593,1379,877,1079,842
MMR111,Bago,MMR008D002,Thayarwady,MMR008010,Okpho,31894,25721,6173,124678,1984,121398,5264,2772,1618,2081,1755,58312,2393,1168,698,980,772,63086,2871,1604,920,1101,983
